Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Date
1616366520,57747.16,57798.07,57743.95,57757.46,1.5424288000000002,89089.344726,57759.129449,2021-03-21 22:42:00
1616366580,57776.54,57776.54,57703.0,57753.17,4.202042,242611.49141,57736.569842,2021-03-21 22:43:00
1616366640,57764.47,57775.78,57758.41,57758.41,0.58594377,33852.50191,57774.318362,2021-03-21 22:44:00
1616366700,57748.37,57817.76,57748.06,57779.23,3.48836946,201491.64208,57760.98099400001,2021-03-21 22:45:00
1616366760,57792.07,57806.24,57789.99,57806.24,0.36927134,21344.217682,57800.905108000006,2021-03-21 22:46:00
1616366820,57783.86,57790.08,57751.0,57751.0,3.55110937,205131.43303,57765.450638999995,2021-03-21 22:47:00
1616366880,57751.51,57784.09,57751.51,57758.46,1.22889049,70989.914888,57767.486579,2021-03-21 22:48:00
1616366940,57744.61,57744.61,57701.0,57738.46,0.65681631,37901.835153,57705.380601,2021-03-21 22:49:00
1616367000,57750.49,57750.49,57688.45,57712.81,1.14386162,66008.944009,57707.106223,2021-03-21 22:50:00
1616367060,57723.59,57723.59,57703.15,57710.94,0.20830064,12021.205445,57710.84258300001,2021-03-21 22:51:00
1616367120,57692.91,57707.57,57676.57,57693.91,0.23534594,13577.897027,57693.355693,2021-03-21 22:52:00
1616367180,57690.96,57694.09,57632.18,57632.18,1.65541576,95450.559931,57659.56941900001,2021-03-21 22:53:00
1616367240,57642.28,57655.49,57622.79,57655.49,0.89423225,51545.565315,57642.257159,2021-03-21 22:54:00
1616367300,57633.77,57721.11,57633.77,57691.51,0.61750312,35631.096617,57701.88921,2021-03-21 22:55:00
1616367360,57704.46,57759.03,57682.01,57759.03,2.10548354,121464.10998,57689.413228,2021-03-21 22:56:00
1616367420,57724.99,57764.45,57723.79,57763.69,2.66771342,154078.67842,57756.832972000004,2021-03-21 22:57:00
1616367480,57751.89,57752.1,57666.13,57698.65,8.26721814,477223.97803,57724.856166,2021-03-21 22:58:00
1616367540,57693.79,57704.31,57604.01,57604.01,1.99991418,115291.1275,57648.037425,2021-03-21 22:59:00
1616367600,57605.0,57689.28,57605.0,57659.5,4.20833432,242578.37125999999,57642.371736,2021-03-21 23:00:00
1616367660,57686.01,57759.39,57686.01,57745.44,3.36028356,193947.58578,57717.624813999995,2021-03-21 23:01:00
1616367720,57719.12,57771.16,57719.12,57730.68,0.99867394,57673.726209,57750.306581,2021-03-21 23:02:00
1616367780,57747.08,57784.95,57741.03,57784.95,1.22455901,70734.96259,57763.621036000004,2021-03-21 23:03:00
1616367840,57801.13,57819.13,57747.45,57762.18,0.72753513,42047.941463999996,57795.066836,2021-03-21 23:04:00
1616367900,57731.32,57735.8,57685.62,57710.61,2.38266879,137511.54372000002,57713.24335700001,2021-03-21 23:05:00
1616367960,57659.72,57684.29,57606.06,57616.16,2.96320977,170808.5507,57643.084341999995,2021-03-21 23:06:00
1616368020,57632.24,57740.0,57632.24,57737.11,0.79810785,46046.194778,57694.201075,2021-03-21 23:07:00
1616368080,57709.16,57709.16,57617.67,57627.33,1.72462966,99453.667217,57666.680287,2021-03-21 23:08:00
1616368140,57611.49,57614.47,57546.13,57546.13,4.48840583,258552.16739000002,57604.45405,2021-03-21 23:09:00
1616368200,57546.13,57552.73,57366.23,57430.45,7.98724668,459045.18656000006,57472.268599,2021-03-21 23:10:00
1616368260,57442.39,57442.39,57423.56,57430.98,0.9291799999999999,53371.875587,57439.75934400001,2021-03-21 23:11:00
1616368320,57429.0,57449.35,57397.61,57408.71,1.88236176,108098.70282,57427.166827999994,2021-03-21 23:12:00
1616368380,57425.59,57443.02,57417.47,57417.47,2.45323426,140882.26095,57427.153715,2021-03-21 23:13:00
1616368440,57442.25,57442.25,57189.96,57197.5,5.00266911,286407.05868,57250.849973000004,2021-03-21 23:14:00
1616368500,57217.35,57392.52,57217.35,57336.01,5.25001422,300747.68935,57285.119001,2021-03-21 23:15:00
1616368560,57395.54,57424.11,57347.17,57350.96,0.88548759,50829.133275,57402.42308200001,2021-03-21 23:16:00
1616368620,57354.32,57419.57,57354.32,57382.26,0.37654504,21604.554433,57375.750942,2021-03-21 23:17:00
1616368680,57381.41,57421.58,57357.65,57409.75,3.58093963,205506.5685,57389.00672200001,2021-03-21 23:18:00
1616368740,57400.74,57446.43,57400.74,57446.43,0.98693968,56659.631578,57409.416935,2021-03-21 23:19:00
